id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
531,BP20392,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,36,26,Hutan,Mangrove,Rakun,1.4323792,102.3169611,11.5878216,0.25,Belum,-,-,Arapik,10/13/2021 10:23,"200,000.00",1.74,-,Krisnawati et al. (2012),media/1634113366183.jpg,media/1634113404080.jpg,media/1634113246575.jpg,media/1634113385545.jpg,adopsipohonriau/531
532,BP20393,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,29,Hutan,Mangrove,Rakun,1.4323792,102.3169611,11.5878216,0.25,Belum,-,-,Arapik,10/13/2021 10:27,"200,000.00",3.13,-,Krisnawati et al. (2012),media/1634113576073.jpg,media/1634113613554.jpg,media/1634113532807.jpg,media/1634113595480.jpg,adopsipohonriau/532
533,BP20394,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,33,22,Hutan,Mangrove,Rakun,1.4323792,102.3169611,11.5878216,0.25,Belum,-,-,Arapik,10/13/2021 10:30,"200,000.00",1.41,-,Krisnawati et al. (2012),media/1634113789674.jpg,media/1634113826205.jpg,media/1634113742720.jpg,media/1634113806630.jpg,adopsipohonriau/533
534,BP20396,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,29,Hutan,Mangrove,Rakun,1.4230968,102.3168612,11.5878216,0.21,Belum,-,-,Arapik,10/13/2021 10:35,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634114072808.jpg,media/1634114114120.jpg,media/1634114005388.jpg,media/1634114090325.jpg,adopsipohonriau/534
535,BP20316,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,20,Hutan,Mangrove,Rakun,1.4248909,102.3058409,-3,0.64,Belum,-,-,Arapik,10/13/2021 7:23,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634102506111.jpg,media/1634102538394.jpg,media/1634102525230.jpg,media/1634102558352.jpg,adopsipohonriau/535
536,BP20390,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,28,22,Hutan,Mangrove,Rakun,1.4323162,102.3170432,0,0.24,Belum,-,-,Burhanuddin,10/13/2021 10:23,"200,000.00",0.95,-,Krisnawati et al. (2012),media/1634113501213.jpg,media/1634113537060.jpg,media/1634113467022.jpg,media/1634113444848.jpg,adopsipohonriau/536
537,BP20399,Tumu / Bakau Jantan,-,Pohon Dewasa,icon/mature_tree.svg,-,38,20,Hutan,Mangrove,Rakun,1.4230968,102.3168612,11.5878216,0.21,Belum,-,-,Arapik,10/13/2021 10:40,"200,000.00",397.98,-,Brown (1997),media/1634114373976.jpg,media/1634114412904.jpg,media/1634114330915.jpg,media/1634114395155.jpg,adopsipohonriau/537
538,BP20395,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,30,20,Hutan,Mangrove,Rakun,1.4323162,102.3170432,0,0.24,Belum,-,-,Burhanuddin,10/13/2021 10:31,"200,000.00",1.12,-,Krisnawati et al. (2012),media/1634113978991.jpg,media/1634114007336.jpg,media/1634113899699.jpg,media/1634113869533.jpg,adopsipohonriau/538
539,BP20400,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,27,23,Hutan,Mangrove,Rakun,1.4121800,102.3161455,11.5878216,0.25,Belum,-,-,Arapik,10/13/2021 10:43,"200,000.00",0.87,-,Krisnawati et al. (2012),media/1634114572667.jpg,media/1634114604241.jpg,media/1634114533264.jpg,media/1634114588520.jpg,adopsipohonriau/539
540,BP20397,Bakau,Rhizophora spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,28,Hutan,Mangrove,Rakun,1.4240915,102.3052156,-81,0.75,Belum,-,-,Burhanuddin,10/13/2021 10:40,"200,000.00",2.24,-,Krisnawati et al. (2012),media/1634114345078.jpg,media/1634114409450.jpg,media/1634114386991.jpg,media/1634114438228.jpg,adopsipohonriau/540
